date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:48:09	58899/58899	---M--	200	added ('OK')	text/html	date:Fri,%2026%20May%202023%2005:19:20%20GMT	https://thepixelcurve.com/html/techwix/techwix/index-4.html	C:/My%20Web%20Sites/Jemisha/thepixelcurve.com/html/techwix/techwix/index-4.html	(from )
16:48:10	118/118	---MC-	200	added ('OK')	text/plain	date:Fri,%2001%20Mar%202024%2011:18:10%20GMT	https://thepixelcurve.com/robots.txt		(from )
16:48:11	1174/1174	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Oct%202022%2009:36:10%20GMT	https://thepixelcurve.com/html/techwix/techwix/assets/images/favicon.png	C:/My%20Web%20Sites/Jemisha/thepixelcurve.com/html/techwix/techwix/assets/images/favicon.png	(from https://thepixelcurve.com/html/techwix/techwix/index-4.html)
16:48:11	6297/6297	---M--	200	added ('OK')	text/css	date:Sat,%2001%20Oct%202022%2009:30:12%20GMT	https://thepixelcurve.com/html/techwix/techwix/assets/css/plugins/flaticon.css	C:/My%20Web%20Sites/Jemisha/thepixelcurve.com/html/techwix/techwix/assets/css/plugins/flaticon.css	(from https://thepixelcurve.com/html/techwix/techwix/index-4.html)
16:48:12	59305/59305	---M--	200	added ('OK')	text/css	date:Sat,%2001%20Oct%202022%2009:30:12%20GMT	https://thepixelcurve.com/html/techwix/techwix/assets/css/plugins/all.min.css	C:/My%20Web%20Sites/Jemisha/thepixelcurve.com/html/techwix/techwix/assets/css/plugins/all.min.css	(from https://thepixelcurve.com/html/techwix/techwix/index-4.html)
16:48:13	162720/162720	---M--	200	added ('OK')	text/css	date:Sat,%2001%20Oct%202022%2009:30:12%20GMT	https://thepixelcurve.com/html/techwix/techwix/assets/css/plugins/bootstrap.min.css	C:/My%20Web%20Sites/Jemisha/thepixelcurve.com/html/techwix/techwix/assets/css/plugins/bootstrap.min.css	(from https://thepixelcurve.com/html/techwix/techwix/index-4.html)
16:48:13	13871/13871	---M--	200	added ('OK')	text/css	date:Sat,%2001%20Oct%202022%2009:30:12%20GMT	https://thepixelcurve.com/html/techwix/techwix/assets/css/plugins/swiper-bundle.min.css	C:/My%20Web%20Sites/Jemisha/thepixelcurve.com/html/techwix/techwix/assets/css/plugins/swiper-bundle.min.css	(from https://thepixelcurve.com/html/techwix/techwix/index-4.html)
16:48:13	26053/26053	---M--	200	added ('OK')	text/css	date:Sat,%2001%20Oct%202022%2009:30:12%20GMT	https://thepixelcurve.com/html/techwix/techwix/assets/css/plugins/aos.css	C:/My%20Web%20Sites/Jemisha/thepixelcurve.com/html/techwix/techwix/assets/css/plugins/aos.css	(from https://thepixelcurve.com/html/techwix/techwix/index-4.html)
16:48:13	6951/6951	---M--	200	added ('OK')	text/css	date:Sat,%2001%20Oct%202022%2009:30:12%20GMT	https://thepixelcurve.com/html/techwix/techwix/assets/css/plugins/magnific-popup.css	C:/My%20Web%20Sites/Jemisha/thepixelcurve.com/html/techwix/techwix/assets/css/plugins/magnific-popup.css	(from https://thepixelcurve.com/html/techwix/techwix/index-4.html)
16:48:14	3224/3224	---M--	200	added ('OK')	image/png	date:Mon,%2015%20May%202023%2015:35:10%20GMT	https://thepixelcurve.com/html/techwix/techwix/assets/images/logo.png	C:/My%20Web%20Sites/Jemisha/thepixelcurve.com/html/techwix/techwix/assets/images/logo.png	(from https://thepixelcurve.com/html/techwix/techwix/index-4.html)
